,target_chemblid,year,max_phase,size,cumsum,best_phase,total_compounds,number_of_targets,avg,difference,r_difference,peak_to_current,target
18845,CHEMBL214,2016,4.0,3942.0,139680,4,373003.0,1151,324.068635969,0.0105682796117,0.00841639513176,0.180443299544,Serotonin 1a (5-HT1a) receptor
19520,CHEMBL215,2016,4.0,528.0,30768,4,373003.0,1151,324.068635969,0.00141553821283,0.00265110503756,0.0478231202561,Arachidonate 5-lipoxygenase
22112,CHEMBL220,2016,4.0,5472.0,111024,4,373003.0,1151,324.068635969,0.0146701232966,0.0125927435717,0.187799663247,Acetylcholinesterase
23246,CHEMBL227,2016,4.0,611.0,16081,4,373003.0,1151,324.068635969,0.00163805653038,0.00149856968937,0.0991424210923,Type-1 angiotensin II receptor
23543,CHEMBL229,2016,4.0,375.0,14630,4,373003.0,1151,324.068635969,0.00100535384434,0.000755541021469,0.124468427817,Alpha-1a adrenergic receptor
23624,CHEMBL230,2016,4.0,1710.0,85370,4,373003.0,1151,324.068635969,0.00458441353019,0.00477719832079,0.12778840828,Cyclooxygenase-2
23732,CHEMBL231,2016,4.0,9696.0,136320,4,373003.0,1151,324.068635969,0.0259944289992,0.0109719467847,0.121202462493,Histamine H1 receptor
27566,CHEMBL242,2016,4.0,176.0,41736,4,373003.0,1151,324.068635969,0.000471846070943,0.00209177151631,0.177644469097,Estrogen receptor beta
28187,CHEMBL244,2016,4.0,252.0,47952,4,373003.0,1151,324.068635969,0.000675597783396,0.00166248610277,0.105336589257,Coagulation factor X
28295,CHEMBL245,2016,4.0,888.0,126947,4,373003.0,1151,324.068635969,0.00238067790339,0.00777119447981,0.101461618449,Muscarinic acetylcholine receptor M3
28349,CHEMBL246,2016,4.0,406.0,24332,4,373003.0,1151,324.068635969,0.00108846309547,0.000672782527585,0.0595683225678,Beta-3 adrenergic receptor
28646,CHEMBL249,2016,4.0,140.0,55734,4,373003.0,1151,324.068635969,0.000375332101887,0.00163872729086,0.0353355196626,Neurokinin 1 receptor
29726,CHEMBL258,2016,4.0,126.0,8772,4,373003.0,1151,324.068635969,0.000337798891698,0.000600403233381,0.113432538786,Tyrosine-protein kinase LCK
30023,CHEMBL2608,2016,0.0,0.0,870,4,373003.0,1151,324.068635969,0.0,3.25668465221e-05,0.082598480201,Lysosomal alpha-glucosidase
31508,CHEMBL274,2016,4.0,8.0,28624,4,373003.0,1151,324.068635969,2.14475486792e-05,0.00114150318086,0.111938969318,C-C chemokine receptor type 5
31670,CHEMBL2755,2016,0.0,0.0,632,4,373003.0,1151,324.068635969,0.0,1.32270762318e-05,0.0285991193224,Glutathione reductase
32048,CHEMBL280,2016,4.0,50.0,3513,4,373003.0,1151,324.068635969,0.000134047179245,0.000148250910152,0.132733820218,Matrix metalloproteinase 13
32615,CHEMBL286,2016,0.0,0.0,4729,4,373003.0,1151,324.068635969,0.0,9.79968428617e-05,0.00243210370346,Renin
32750,CHEMBL287,2016,4.0,144.0,6640,4,373003.0,1151,324.068635969,0.000386055876226,0.000267525364991,0.0136748242486,Sigma opioid receptor
33776,CHEMBL2964,2016,4.0,176.0,6496,4,373003.0,1151,324.068635969,0.000471846070943,0.000288268769799,0.195977991829,Dual specificity mitogen-activated protein kinase kinase 2
36800,CHEMBL3157,2016,4.0,40.0,4108,4,373003.0,1151,324.068635969,0.000107237743396,5.05322202353e-05,0.0213349024477,Bradykinin B2 receptor
37421,CHEMBL3194,2016,0.0,0.0,2548,4,373003.0,1151,324.068635969,0.0,6.77574656326e-05,0.099797003573,Transthyretin
40256,CHEMBL332,2016,4.0,22.0,4939,4,373003.0,1151,324.068635969,5.89807588679e-05,0.000106107513761,0.0454350096701,Matrix metalloproteinase-1
43604,CHEMBL3522,2016,4.0,75.0,4740,4,373003.0,1151,324.068635969,0.000201070768868,0.00041541391894,0.186984590628,Cytochrome P450 17A1
52055,CHEMBL3972,2016,4.0,1.0,432,4,373003.0,1151,324.068635969,2.6809435849e-06,1.28391361181e-05,0.0242564586587,GAR transformylase
52109,CHEMBL3974,2016,4.0,54.0,4173,4,373003.0,1151,324.068635969,0.000144770953585,0.000184328851862,0.0676551951958,Proteinase-activated receptor 1
52757,CHEMBL402,2016,0.0,0.0,4576,4,373003.0,1151,324.068635969,0.0,0.000141663364328,0.00529863015311,HMG-CoA reductase
53270,CHEMBL4073,2016,4.0,2.0,891,4,373003.0,1151,324.068635969,5.36188716981e-06,2.13989236135e-05,0.0351823131315,Matrix metalloproteinase 7
57374,CHEMBL4478,2016,4.0,6.0,3450,4,373003.0,1151,324.068635969,1.60856615094e-05,0.000167154608135,0.102257546004,Voltage-gated N-type calcium channel alpha-1B subunit
58481,CHEMBL4588,2016,4.0,28.0,1541,4,373003.0,1151,324.068635969,7.50664203773e-05,8.07855918775e-05,0.0828858366273,Matrix metalloproteinase 8
